DRUGBANK_ID,Drug_Number,SMILES
DB01110,0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DB01234,1,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
DB08814,2,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
DB00661,3,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
DB00909,4,NS(=O)(=O)Cc1noc2ccccc12
DB04841,5,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
DB00201,6,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00277,7,Cn1c(=O)c2[nH]cnc2n(C)c1=O
DB00640,8,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DB00651,9,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
DB00996,10,NCC1(CC(=O)O)CCCCC1
DB01223,11,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN
DB01412,12,Cn1cnc2c1c(=O)[nH]c(=O)n2C
DB00619,13,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
DB01254,14,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
DB04868,15,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
DB00244,16,Nc1ccc(O)c(C(=O)O)c1
DB00316,17,CC(=O)Nc1ccc(O)cc1
DB00328,18,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
DB00350,19,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
DB00461,20,COc1ccc2cc(CCC(C)=O)ccc2c1
DB00465,21,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
DB00469,22,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
DB00500,23,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
DB00554,24,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
DB00586,25,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
DB00605,26,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1
DB00712,27,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
DB00749,28,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
DB00784,29,Cc1cccc(Nc2ccccc2C(=O)O)c1C
DB00788,30,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
DB00795,31,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
DB00812,32,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
DB00814,33,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
DB00821,34,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
DB00870,35,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
DB00945,36,CC(=O)Oc1ccccc1C(=O)O
DB00963,37,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
DB00991,38,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
DB01009,39,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
DB01014,40,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1
DB01050,41,CC(C)Cc1ccc(C(C)C(=O)O)cc1
DB01283,42,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1
DB01399,43,O=C(Oc1ccccc1C(=O)O)c1ccccc1O
DB01435,44,Cc1cc(=O)n(-c2ccccc2)n1C
DB02266,45,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
DB02709,46,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
DB04552,47,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
DB06725,48,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O
DB06802,49,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
DB00246,50,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
DB00268,51,CCCN(CCC)CCc1cccc2c1CC(=O)N2
DB00334,52,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
DB00363,53,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
DB00408,54,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
DB00413,55,CCCN[C@H]1CCc2nc(N)sc2C1
DB00477,56,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
DB00502,57,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
DB00543,58,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
DB00623,59,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
DB00679,60,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
DB00734,61,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
DB00800,62,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
DB00988,63,NCCc1ccc(O)c(O)c1
DB01186,64,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DB01224,65,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
DB01235,66,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
DB01238,67,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
DB01239,68,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
DB01099,69,Nc1nc(=O)[nH]cc1F
DB00398,70,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
DB01268,71,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
DB00384,72,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
DB00594,73,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
DB01229,74,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
DB01248,75,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C
DB01394,76,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
DB03010,77,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
DB06772,78,CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C
DB00165,79,Cc1ncc(CO)c(CO)c1O
DB00559,80,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
DB06268,81,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2
DB00321,82,CN(C)CCC=C1c2ccccc2CCc2ccccc21
DB00332,83,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
DB00342,84,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
DB00387,85,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
DB00424,86,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2
DB00434,87,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
DB00458,88,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00462,89,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21.[Br-]
DB00496,90,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
DB00517,91,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-]
DB00572,92,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
DB00622,93,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
DB00715,94,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
DB00747,95,CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
DB00809,96,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
DB00934,97,CNCCCC12CCC(c3ccccc31)c1ccccc12
DB01036,98,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
DB01062,99,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
DB01085,100,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
DB01337,101,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1
DB01409,102,C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21
DB01591,103,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
DB04843,104,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
DB06702,105,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1
DB00170,106,CC1=CC(=O)c2ccccc2C1=O
DB00278,107,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
DB04786,108,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1
DB04898,109,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N/O)cc1)C1CCCCC1
DB06695,110,CCCCCCOC(=O)/N=C(/N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1
DB00145,111,NCC(=O)O
DB01108,112,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O
DB00126,113,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
DB01275,114,NNc1nncc2ccccc12
DB06155,115,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
DB00177,116,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
DB00275,117,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
DB00796,118,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
DB00876,119,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
DB00966,120,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
DB01029,121,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
DB00297,122,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
DB00770,123,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
DB00905,124,CCNC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)CCc1ccccc1
DB00917,125,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
DB00636,126,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
DB01039,127,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
DB01241,128,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
DB01393,129,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
DB00121,130,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
DB00755,131,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
DB00993,132,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
DB01033,133,S=c1nc[nH]c2nc[nH]c12
DB00210,134,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
DB00307,135,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
DB00459,136,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00799,137,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
DB01941,138,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C
DB00904,139,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
DB01079,140,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
DB00204,141,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00308,142,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
DB00457,143,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00489,144,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
DB00590,145,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
DB00908,146,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
DB01118,147,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
DB01136,148,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
DB01162,149,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
DB01182,150,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
DB01218,151,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12
DB00762,152,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
DB01030,153,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
DB00245,154,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2
DB00366,155,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
DB00804,156,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
DB00810,157,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
DB01148,158,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O
DB01175,159,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DB04365,160,COC(=O)C1=CCCN(C)C1
DB03754,161,NC(CO)(CO)CO
DB00973,162,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1
DB01094,163,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O
DB00208,164,Clc1ccccc1CN1CCc2sccc2C1
DB06209,165,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2
DB08816,166,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1
DB00501,167,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
DB00585,168,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
DB00751,169,NC1=NCC2c3ccccc3Cc3ccccc3N12
DB00863,170,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
DB00927,171,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
DB00987,172,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
DB00173,173,Nc1ncnc2nc[nH]c12
DB01016,174,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
DB01599,175,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
DB00255,176,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
DB00367,177,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
DB00396,178,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
DB00481,179,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
DB00539,180,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
DB00603,181,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
DB00655,182,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
DB00675,183,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
DB00783,184,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
DB00823,185,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
DB00882,186,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
DB00890,187,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
DB00947,188,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O
DB00977,189,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
DB01065,190,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
DB01183,191,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
DB01196,192,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
DB01357,193,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
DB01645,194,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
DB04573,195,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
DB07933,196,Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H]3CCC[C@@H]32)cc1
DB01025,197,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
DB07931,198,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
DB00358,199,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
DB08486,200,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1
DB00421,201,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21
DB00499,202,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
DB00621,203,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
